dia,horario,atividade,obs
Seg 02/03,16:00,Apresentação e Café,Concentração no Brinco de Ouro
Seg 02/03,16:45,Todos prontos para atividades,Uniforme de treino obrigatório
Seg 02/03,18:30,Jantar no Brinco,
Ter 03/03,16:00,Apresentação e Café,
Ter 03/03,16:45,Todos prontos para atividades,
Ter 03/03,18:30,Jantar no Brinco,
Qua 04/03,08:30,Apresentação e Café,
Qua 04/03,09:30,Todos prontos para atividades,
Qua 04/03,11:30,Almoço no Brinco,
Qui 05/03,08:30,Apresentação e Café,
Qui 05/03,09:30,Todos prontos para atividades,
Qui 05/03,11:30,Almoço no Brinco,
Sex 06/03,08:30,Apresentação e Café,
Sex 06/03,09:30,Todos prontos para atividades,
Sex 06/03,11:30,Almoço no Brinco,
